_id,task_2
60c5d6bf5659ea5e55deffcb,NONE
60c5d6bf5659ea5e55df028c,PRFN
60c5d6bf5659ea5e55def377,PRFN
60c5d6bf5659ea5e55def4c7,NONE
60c5d6bf5659ea5e55df01a6,NONE
60c5d6bf5659ea5e55def837,NONE
60c5d6bf5659ea5e55def6ec,PRFN
60c5d6bf5659ea5e55def29e,OFFN
60c5d6bf5659ea5e55defa01,NONE
60c5d6bf5659ea5e55def464,NONE
60c5d6bf5659ea5e55df020f,OFFN
60c5d6bf5659ea5e55defb48,HATE
60c5d6bf5659ea5e55def1a8,OFFN
60c5d6bf5659ea5e55defc80,OFFN
60c5d6bf5659ea5e55defc3e,NONE
60c5d6bf5659ea5e55def2e2,PRFN
60c5d6bf5659ea5e55defbd6,NONE
60c5d6bf5659ea5e55defc41,HATE
60c5d6bf5659ea5e55df0176,NONE
60c5d6bf5659ea5e55df027b,HATE
60c5d6bf5659ea5e55df01eb,NONE
60c5d6bf5659ea5e55def27f,PRFN
60c5d6bf5659ea5e55df02e2,NONE
60c5d6bf5659ea5e55df01b9,HATE
60c5d6bf5659ea5e55defaa7,PRFN
60c5d6bf5659ea5e55defae9,PRFN
60c5d6bf5659ea5e55df002d,OFFN
60c5d6bf5659ea5e55def466,HATE
60c5d6bf5659ea5e55df0289,HATE
60c5d6bf5659ea5e55def2a8,NONE
60c5d6bf5659ea5e55def994,PRFN
60c5d6bf5659ea5e55def7cd,OFFN
60c5d6bf5659ea5e55deff31,OFFN
60c5d6bf5659ea5e55df0218,PRFN
60c5d6bf5659ea5e55def29f,HATE
60c5d6bf5659ea5e55defeea,PRFN
60c5d6bf5659ea5e55def2b8,OFFN
60c5d6bf5659ea5e55defed1,NONE
60c5d6bf5659ea5e55defed8,OFFN
60c5d6bf5659ea5e55defdcc,OFFN
60c5d6bf5659ea5e55def50b,NONE
60c5d6bf5659ea5e55df0149,HATE
60c5d6bf5659ea5e55def497,NONE
60c5d6bf5659ea5e55df0472,PRFN
60c5d6bf5659ea5e55df0290,PRFN
60c5d6bf5659ea5e55def792,HATE
60c5d6bf5659ea5e55defb7f,HATE
60c5d6bf5659ea5e55def130,PRFN
60c5d6bf5659ea5e55def3f9,HATE
60c5d6bf5659ea5e55df0024,NONE
60c5d6bf5659ea5e55def502,HATE
60c5d6bf5659ea5e55def6b3,NONE
60c5d6bf5659ea5e55defff1,HATE
60c5d6bf5659ea5e55df0457,OFFN
60c5d6bf5659ea5e55defc14,HATE
60c5d6bf5659ea5e55df0323,PRFN
60c5d6bf5659ea5e55df035b,HATE
60c5d6bf5659ea5e55def1cf,PRFN
60c5d6bf5659ea5e55deff15,NONE
60c5d6bf5659ea5e55def491,OFFN
60c5d6bf5659ea5e55df016f,PRFN
60c5d6bf5659ea5e55def75c,PRFN
60c5d6bf5659ea5e55def560,PRFN
60c5d6bf5659ea5e55df01ed,NONE
60c5d6bf5659ea5e55def6c4,NONE
60c5d6bf5659ea5e55df0337,PRFN
60c5d6bf5659ea5e55df036e,PRFN
60c5d6bf5659ea5e55defcb2,OFFN
60c5d6bf5659ea5e55deffa4,PRFN
60c5d6bf5659ea5e55df014f,NONE
60c5d6bf5659ea5e55def2e5,OFFN
60c5d6bf5659ea5e55def764,HATE
60c5d6bf5659ea5e55def629,NONE
60c5d6bf5659ea5e55defa5b,PRFN
60c5d6bf5659ea5e55def288,NONE
60c5d6bf5659ea5e55def26d,HATE
60c5d6bf5659ea5e55def65b,PRFN
60c5d6bf5659ea5e55def317,HATE
60c5d6bf5659ea5e55def235,PRFN
60c5d6bf5659ea5e55df0041,PRFN
60c5d6bf5659ea5e55defe17,NONE
60c5d6bf5659ea5e55df02d0,PRFN
60c5d6bf5659ea5e55df00cb,PRFN
60c5d6bf5659ea5e55df02a9,NONE
60c5d6bf5659ea5e55def650,PRFN
60c5d6bf5659ea5e55def307,NONE
60c5d6bf5659ea5e55def5ef,NONE
60c5d6bf5659ea5e55defcc7,OFFN
60c5d6bf5659ea5e55df00e1,NONE
60c5d6bf5659ea5e55df0059,OFFN
60c5d6bf5659ea5e55df010b,NONE
60c5d6bf5659ea5e55defe81,NONE
60c5d6bf5659ea5e55defcb1,NONE
60c5d6bf5659ea5e55def569,PRFN
60c5d6bf5659ea5e55def28b,OFFN
60c5d6bf5659ea5e55defd35,NONE
60c5d6bf5659ea5e55df0314,PRFN
60c5d6bf5659ea5e55def53b,NONE
60c5d6bf5659ea5e55df0286,OFFN
60c5d6bf5659ea5e55df00fe,HATE
60c5d6bf5659ea5e55def10d,PRFN
60c5d6bf5659ea5e55df0030,PRFN
60c5d6bf5659ea5e55defab3,NONE
60c5d6bf5659ea5e55defdc1,NONE
