,Unnamed: 0,_id,text,task_1,task_2,text_clean
0,4986,60c5d6bf5659ea5e55defa2c,"@wealth if you made it through this &amp;&amp; were not only able to start making money for yourself but sustain living that way all from home, fuck these companies &amp; corporate pigs. power to the people, always.",HOF,PRFN,made ampamp able start making money sustain living way home fuck companies amp corporate pigs power people always
1,3394,60c5d6bf5659ea5e55def461,"Technically that's still turning back the clock, dick head https://t.co/jbKaPJmpt1",HOF,OFFN,technically thats still turning back clock dick head
2,1310,60c5d6bf5659ea5e55defaad,"@VMBJP @BJP4Bengal @BJP4India @narendramodi @JPNadda @AmitShah @DilipGhoshBJP @RahulSinhaBJP And you're the govt?!?! Stop thinking about world media, liberal gangs or any optics whatsoever and ACT NOW already.  If this is what a person at your level is facing then shudder to think the plight of common people in Bengal. #BengalBurning",NOT,NONE,youre govt stop thinking world media liberal gangs optics whatsoever act already person level facing shudder think plight common people bengal bengalburning
3,3390,60c5d6bf5659ea5e55def419,@krtoprak_yigit Soldier of Japan Who has dick head,HOF,OFFN,soldier japan dick head
4,4626,60c5d6bf5659ea5e55def7fa,@blueheartedly You'd be better off asking who DOESN'T think he's a sleazy shitbag lmao.,HOF,OFFN,youd better asking doesnt think hes sleazy shitbag lmao
5,1506,60c5d6bf5659ea5e55defc58,@ilyhiguchi DICK,HOF,PRFN,dick
6,2298,60c5d6bf5659ea5e55df0132,"Why to blame only Modi or Government for this Corona mess,  when we all are equally responsible.  #NarendraModi  #COVIDSecondWaveInIndia  #coronavirus  #IndiaCovidCrisis",NOT,NONE,blame modi government corona mess equally responsible narendramodi covidsecondwaveinindia coronavirus indiacovidcrisis
7,309,60c5d6bf5659ea5e55def378,"The report on @TheLeadCNN that @clarissaward filed from India regarding the dire COVID catastrophe was absolutely riveting, devastatingly sad...and some of the best and most important reporting you will see. Do not look away. #IndiaCovidCrisis https://t.co/oHsnIXlEla",NOT,NONE,report filed india regarding dire covid catastrophe absolutely riveting devastatingly sadand best important reporting see look away indiacovidcrisis
8,3582,60c5d6bf5659ea5e55def54f,"@Chahal_Shekhar Sorry we won't, why can't your raise your voice for thousands of people who died due to bed crisis and oxygen. Are you people trying to divert this situation and saving #Modi? #Resign_PM_Modi this time it won't work out and even bhakths a",HOF,HATE,sorry wont cant raise voice thousands people died due bed crisis oxygen people trying divert situation saving modi resignpmmodi time wont work even bhakths
9,2139,60c5d6bf5659ea5e55df0086,People are dying even in villages where there's just one doctor for the entire village. Loss of livelihoods all around is pushing thousands to poverty every single day. This is dehumanizing. Help in your own capacity as much as you can. No hope in the system. #IndiaCovidCrisis,NOT,NONE,people dying even villages theres one doctor entire village loss livelihoods around pushing thousands poverty every single day dehumanizing help capacity much hope system indiacovidcrisis
10,636,60c5d6bf5659ea5e55def5f7,"It is disappointing to see Ohio will give initial vaccine doses to only 1% of residents this week. But total doses (including second doses) administered Wednesday were 93,000. 40.95% have gotten at least one dose. 34.25% have finished. #ohio #CovidVaccine #Covid",NOT,NONE,disappointing see ohio give initial vaccine doses 1 residents week total doses including second doses administered wednesday 93000 4095 gotten least one dose 3425 finished ohio covidvaccine covid
11,150,60c5d6bf5659ea5e55def132,"@narendramodi, you are #NotMyPrimeMinister anymore. Your egoistic and populistic ways have no place in #Delhi. Millions are dying because of your inactions and you are focused on ruining Delhi’s heritage. Get out of my city!  #ResignModi https://t.co/GcW74Ccpyz",HOF,OFFN,notmyprimeminister anymore egoistic populistic ways place delhi millions dying inactions focused ruining delhi ’ heritage get city resignmodi
12,3586,60c5d6bf5659ea5e55def5dc,"Muslims should help cremate their dead because families too scared to perform the last rites of their loved ones! #IndiaCovidCrisis, Dalits &amp; Muslims donâ€™t get respite, in pandemic or without pandemic. They donâ€™t deserve human rights or dignity, forget about acknowledging them!",HOF,OFFN,muslims help cremate dead families scared perform last rites loved ones indiacovidcrisis dalits amp muslims donâ€™t get respite pandemic without pandemic donâ€™t deserve human rights dignity forget acknowledging
13,488,60c5d6bf5659ea5e55def33b,yeah when she's finally done w you you wanna pop back into her life fuck off,HOF,PRFN,yeah shes finally done w wan na pop back life fuck
14,12,60c5d6bf5659ea5e55def204,The situation all around us is extremely painful.I can't albe to see it any more..ppl are loosing their hope. Only God knows when will this all end.God will never forgive anyone who behaves as a opportunistic in this inhumane crisis. #wuhanvirus @WIONews @PMOIndia @arunbothra,NOT,NONE,situation around us extremely painfuli cant albe see moreppl loosing hope god knows endgod never forgive anyone behaves opportunistic inhumane crisis wuhanvirus
